case_id,comment_count_ref,comment_count_effective,anger_count,anger_mean_score,anger_rate,high_anger_flag
v341,0,107,8,0.075543000099723,0.07476635514018691,0
v342,0,50,7,0.14003547813466866,0.14,0
v343,0,148,23,0.15575854340204387,0.1554054054054054,0
v344,0,200,3,0.017312981582253997,0.015,0
v345,0,50,4,0.08425784001054126,0.08,0
v346,0,100,13,0.13037068299323437,0.13,0
v347,0,2,0,0.00018514686962589622,0.0,0
v348,0,147,22,0.15096130772268274,0.14965986394557823,0
v349,0,50,11,0.22003567176128855,0.22,0
v350,0,100,13,0.13045108855974832,0.13,0
v351,0,100,29,0.2897995355120656,0.29,0
v352,0,10,0,0.000756194198038429,0.0,0
v353,0,30,0,0.0008184499298901452,0.0,0
v354,0,150,17,0.11337135681751534,0.11333333333333333,0
v355,0,149,32,0.21299276203490386,0.21476510067114093,0
v356,0,273,25,0.09195781945471446,0.09157509157509157,0
v357,0,100,7,0.08052062642542296,0.07,0
v358,0,10,1,0.10011646515049506,0.1,0
v359,0,2,0,0.00025486624872428365,0.0,0
v360,0,23,0,0.00097597788313262,0.0,0
v361,0,100,12,0.11964699387270229,0.12,0
v362,0,3,0,0.0001673505685175769,0.0,0
v363,0,29,8,0.2730335710351436,0.27586206896551724,0
v364,0,99,34,0.3398716091304768,0.3434343434343434,1
v365,0,20,0,0.00038994699061731806,0.0,0
v366,0,19,0,0.000536175256696113,0.0,0
v367,0,44,9,0.21133060811668905,0.20454545454545456,0
v368,0,5,0,0.00019262166315456853,0.0,0
v369,0,7,0,0.0009770391916390508,0.0,0
v370,0,18,0,0.0003444721482487188,0.0,0
v371,0,8,0,0.0003459822592049022,0.0,0
v372,0,100,14,0.14032908955843595,0.14,0
v373,0,33,0,0.0018518964784699633,0.0,0
v374,0,50,5,0.10040785641700495,0.1,0
v375,0,6,0,0.0009483189763462482,0.0,0
v376,0,11,0,7.840563656910408e-05,0.0,0
v377,0,34,17,0.49878487765935836,0.5,1
v378,0,33,0,0.0004640862226193404,0.0,0
v379,0,50,9,0.18002063892461592,0.18,0
v380,0,50,6,0.12043167172698305,0.12,0
v381,0,4,2,0.4987056595382455,0.5,1
v382,0,41,5,0.12228746475703679,0.12195121951219512,0
v383,0,150,15,0.09979760536375883,0.1,0
v384,0,50,2,0.04052606412675232,0.04,0
v385,0,20,0,0.0006932263982889708,0.0,0
v386,0,21,2,0.09485830936353609,0.09523809523809523,0
v387,0,12,1,0.07897325992356248,0.08333333333333333,0
v388,0,38,2,0.052991955054351,0.05263157894736842,0
v389,0,100,11,0.10957756958159734,0.11,0
v390,0,32,10,0.31233534860120926,0.3125,1
v391,0,50,7,0.14033919431210962,0.14,0
v392,0,10,2,0.19977296363576896,0.2,0
v393,0,49,6,0.12904282232290026,0.12244897959183673,0
pre_final_402,0,1,0,6.72941459924914e-05,0.0,0
v394,0,5,0,0.0006229208112927154,0.0,0
v395,0,14,2,0.14293489520007693,0.14285714285714285,0
pre_final_405,0,1,0,0.0002035511570284143,0.0,0
v396,0,12,1,0.0832844311601851,0.08333333333333333,0
v397,0,5,1,0.20178783903393196,0.2,0
v398,0,5,0,0.0006880654647829943,0.0,0
v399,0,12,0,0.000822511154183303,0.0,0
v400,0,9,1,0.11298470816271017,0.1111111111111111,0
v401,0,5,0,0.00020385819370858372,0.0,0
v402,0,27,7,0.2616239617176082,0.25925925925925924,0
v403,0,15,2,0.1333922768360935,0.13333333333333333,0
v404,0,3,1,0.3325948140991386,0.3333333333333333,1
v405,0,10,0,0.016516914383100812,0.0,0
pre_final_416,0,1,0,0.0009121829643845558,0.0,0
v406,0,10,1,0.10074644836349762,0.1,0
v407,0,655,65,0.09864160866286754,0.09923664122137404,0
v408,0,1202,178,0.1481658896397574,0.1480865224625624,0
v409,0,33,1,0.03217162882444399,0.030303030303030304,0
v410,0,200,12,0.06050059335160768,0.06,0
